file,doc_type,width,height,native_text_lines,embedded_images,blur_var,brightness,contrast
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0001.jpg,jpg,1654,2339,0,0,1622.8284785662183,243.6375728732036,35.58417448070659
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0002.jpg,jpg,1654,2339,0,0,1319.9061970591717,245.11102730473704,33.1525680067382
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0003.jpg,jpg,1654,2339,0,0,1080.6377445068197,246.92798108721624,30.895576054855606
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0004.jpg,jpg,1654,2339,0,0,1352.6735399381603,245.04243020792998,33.27174359135342
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0005.jpg,jpg,1654,2339,0,0,1271.7330352836323,245.52137639820654,32.54877747675647
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0006.jpg,jpg,1654,2339,0,0,1105.8745730484559,246.28923986469894,31.06145207043891
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0007.jpg,jpg,1654,2339,0,0,1616.640260076625,243.147702616844,35.505837078390186
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0008.jpg,jpg,1654,2339,0,0,1233.8551856874108,246.44216464109704,32.139927760844415
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0009.jpg,jpg,1654,2339,0,0,838.7047932823016,249.23213032988292,27.944113306386487
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0010.jpg,jpg,1654,2339,0,0,915.7675496664776,248.7364015254713,28.91755685023273
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0011.jpg,jpg,1654,2339,0,0,906.3203887811584,248.5495607575246,28.800584497568888
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0012.jpg,jpg,1654,2339,0,0,1089.3374968271044,247.44013605582848,30.542841651892797
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0013.jpg,jpg,1654,2339,0,0,1120.315582005973,246.50688033673273,31.11709493605476
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0014.jpg,jpg,1654,2339,0,0,758.4395190536577,249.02635351458602,27.376385789866415
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0015.jpg,jpg,1654,2339,0,0,1374.0738944753105,245.5219985700645,33.18207241012993
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0016.jpg,jpg,1654,2339,0,0,1297.3585927697789,245.7352667791246,32.73007337577831
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0017.jpg,jpg,1654,2339,0,0,1269.5022795735836,245.82888025091594,32.457297602500205
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0018.jpg,jpg,1654,2339,0,0,1286.912359843317,245.74862731879858,32.45910121491929
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0019.jpg,jpg,1654,2339,0,0,976.7188145080034,247.23696708925414,29.92189569673866
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0020.jpg,jpg,1654,2339,0,0,1307.4089910166344,245.20614438005887,32.82693239253066
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0021.jpg,jpg,1654,2339,0,0,1356.091751608936,244.9843195631821,33.53569180193086
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0022.jpg,jpg,1654,2339,0,0,1368.3745288476302,245.01075010610782,33.41761531491562
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0023.jpg,jpg,1654,2339,0,0,952.5409922594273,248.39529884152478,29.370948147255607
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0024.jpg,jpg,1654,2339,0,0,783.7099577998431,248.91252449785534,27.795188226165056
/Users/ankita.singh64/Documents/new-capstone/Datasets/High-Quality Invoice Scanned Images for OCR/batch_1/batch_1/batch1_1/batch1-0025.jpg,jpg,1654,2339,0,0,778.4932527827134,248.92857198246648,27.782343346438015
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109301.pdf,pdf,893,1263,0,0,1689.5303792406676,250.84270994867265,23.98229743512275
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109302.pdf,pdf,893,1263,0,0,2251.4031860365526,249.6586984720608,26.67801129563344
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109303.pdf,pdf,893,1263,0,0,1916.5683334530293,250.37828753416872,25.098586856250332
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109304.pdf,pdf,893,1263,0,0,2224.277836147958,249.7520301739845,26.59356784727108
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109305.pdf,pdf,893,1263,0,0,2277.7172962223117,249.69344483663295,26.784590359501927
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109306.pdf,pdf,893,1263,0,0,1359.4534760107424,251.61095668873503,22.168036492922447
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109307.pdf,pdf,893,1263,0,0,2005.3641705213151,250.26297170124988,25.47218985336798
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109308.pdf,pdf,893,1263,0,0,1879.1861464952622,250.42912456255613,24.93428777783611
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109309.pdf,pdf,893,1263,0,0,1325.6301647635032,251.67872225162898,21.934123828348355
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109310.pdf,pdf,893,1263,0,0,1848.6205882118243,250.55291840558084,24.719941019932936
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109311.pdf,pdf,893,1263,0,0,1356.836092100165,251.64361059316812,22.04260897150354
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109312.pdf,pdf,893,1263,0,0,2378.4707982114787,249.49950481398827,27.184011540467527
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109313.pdf,pdf,893,1263,0,0,2616.98801534589,248.8938856718792,28.22686724103012
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109314.pdf,pdf,893,1263,0,0,1535.4257367277294,251.21316760339724,23.13902509423055
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109315.pdf,pdf,893,1263,0,0,2616.6015876097986,248.9253594642593,28.267956672570424
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109316.pdf,pdf,893,1263,0,0,1513.385036604753,251.17175462535653,23.046917748483406
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109317.pdf,pdf,893,1263,0,0,2063.4561962089233,250.16587889088973,25.73764886937019
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109318.pdf,pdf,893,1263,0,0,1345.4596842335789,251.6305433569267,22.097282115551852
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109319.pdf,pdf,893,1263,0,0,1465.3187676828397,251.34632963872258,22.666682042621744
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109320.pdf,pdf,893,1263,0,0,2610.4736602713638,248.98156152497785,28.31269847374032
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109321.pdf,pdf,893,1263,0,0,1894.5121154328688,250.3781767047122,24.931229901552395
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109322.pdf,pdf,893,1263,0,0,1355.9645505333556,251.62767775049895,22.08272051198959
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109323.pdf,pdf,893,1263,0,0,1897.4882480877486,250.3979282871352,25.033859161001935
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109324.pdf,pdf,893,1263,0,0,1879.5523482988565,250.47053310741856,24.958803507984246
/Users/ankita.singh64/Documents/new-capstone/Datasets/Batch 1/invoices/invoice_51109325.pdf,pdf,893,1263,0,0,2563.256983364055,249.06782142094002,28.043075552725757
/Users/ankita.singh64/Documents/new-capstone/Datasets/2. Multimodal Invoice and Form Understanding/Meridian Consulting.docx,docx,1440,1742,0,1,706.2146710045175,45.384680762852405,28.6778998176542
/Users/ankita.singh64/Documents/new-capstone/Datasets/2. Multimodal Invoice and Form Understanding/NexaWare Systems.docx,docx,1440,1746,0,1,804.3473168518486,45.88012759322897,30.220160953585175
/Users/ankita.singh64/Documents/new-capstone/Datasets/2. Multimodal Invoice and Form Understanding/Vertex Solution.docx,docx,1440,1570,0,1,678.3643435566183,45.41394329440906,28.799152013543573
